Year,Month,Day,Movement,UOM,Family,Material,Business_Unit,Client,Region,Representative,Item,Sales_Quantity,Gross_Revenue,Net_Revenue,COGS,EBIT,Inventory,Price
2011,2,21,Sales,kg,Family 14,Material 44,BU Charlie,Client 0783,MT,Representative 24,Item 0026,1100,6121.50,4882.62,3338.06,1544.56,6676.12,5.57
2011,2,21,Sales,kg,Family 14,Material 44,BU Charlie,Client 1274,MG,Representative 29,Item 0026,660,3984.75,2988.56,2002.84,985.72,4005.68,6.04
2011,2,21,Sales,kg,Family 14,Material 44,BU Charlie,Client 0258,MG,Representative 29,Item 0026,1320,8011.08,6008.31,4005.67,2002.64,8011.34,6.07
2011,2,21,Sales,kg,Family 14,Material 44,BU Charlie,Client 0032,CE,Representative 39,Item 0026,6600,38115.00,30401.25,20028.36,10372.89,40056.72,5.78
2011,2,21,Sales,kg,Family 14,Material 44,BU Charlie,Client 0072,SP,Representative 10,Item 0026,9900,60291.00,41773.05,30042.54,11730.51,60085.08,6.09
2011,2,21,Sales,kg,Family 14,Material 44,BU Charlie,Client 0457,SP,Representative 43,Item 0026,11000,72187.50,50015.62,33380.60,16635.02,66761.20,6.56
2011,2,21,Sales,kg,Family 14,Material 44,BU Charlie,Client 0996,RS,Representative 12,Item 0026,1100,7218.75,5414.06,3338.06,2076.00,6676.12,6.56
2011,3,4,Sales,kg,Family 14,Material 44,BU Alpha,Client 1263,RS,Representative 57,Item 0026,220,1612.38,1132.50,718.10,414.40,1436.20,7.33
2011,3,4,Sales,kg,Family 14,Material 44,BU Alpha,Client 0711,RS,Representative 25,Item 0026,440,3243.24,2278.02,1425.08,852.94,2850.16,7.37
2011,3,4,Sales,kg,Family 14,Material 44,BU Alpha,Client 0667,RS,Representative 57,Item 0026,440,3224.76,2265.00,1425.08,839.92,2850.16,7.33
2011,3,4,Sales,kg,Family 14,Material 44,BU Alpha,Client 0866,RS,Representative 25,Item 0026,440,2864.40,2011.90,1425.08,586.82,2850.16,6.51
2011,3,4,Sales,kg,Family 14,Material 44,BU Alpha,Client 0307,RS,Representative 57,Item 0026,440,3243.24,2277.99,1425.07,852.92,2850.14,7.37
2011,3,4,Sales,kg,Family 14,Material 44,BU Alpha,Client 0527,RS,Representative 57,Item 0028,20,160.65,111.55,78.92,32.63,157.84,8.03
2011,3,4,Sales,kg,Family 14,Material 44,BU Bravo,Client 0679,SC,Representative 07,Item 0026,2200,14899.50,10465.12,7144.72,3320.40,14289.44,6.77
2011,3,4,Sales,kg,Family 14,Material 44,BU Bravo,Client 1276,PR,Representative 49,Item 0026,1100,7276.50,5457.37,3572.36,1885.01,7144.72,6.62
2011,3,4,Sales,kg,Family 14,Material 44,BU Charlie,Client 1100,SP,Representative 12,Item 0026,12760,80388.00,55697.40,39702.74,15994.66,79405.48,6.30
2011,3,4,Sales,kg,Family 14,Material 44,BU Charlie,Client 1005,MS,Representative 24,Item 0026,1100,6525.75,5205.06,3422.65,1782.41,6845.30,5.93
2011,3,4,Sales,kg,Family 14,Material 44,BU Charlie,Client 0119,PB,Representative 27,Item 0026,3300,18537.75,14786.05,10267.95,4518.10,20535.90,5.62
2011,3,4,Sales,kg,Family 14,Material 44,BU Charlie,Client 1133,CE,Representative 39,Item 0026,5500,29337.00,23399.75,17113.25,6286.50,34226.50,5.33
2011,3,4,Sales,kg,Family 14,Material 44,BU Charlie,Client 0793,CE,Representative 11,Item 0026,440,2762.76,2203.64,1369.06,834.58,2738.12,6.28
2011,3,4,Sales,kg,Family 14,Material 44,BU Charlie,Client 1247,PE,Representative 27,Item 0026,6380,35906.64,28639.81,19851.37,8788.44,39702.74,5.63
2011,3,4,Sales,kg,Family 14,Material 44,BU Charlie,Client 1112,RS,Representative 28,Item 0026,22000,125202.00,93901.50,68453.00,25448.50,136906.00,5.69
2011,3,4,Sales,kg,Family 14,Material 44,BU Charlie,Client 0663,PI,Representative 27,Item 0026,1320,7553.70,6024.98,4107.18,1917.80,8214.36,5.72
2011,3,4,Sales,kg,Family 14,Material 44,BU Charlie,Client 0045,MG,Representative 12,Item 0026,5060,29434.02,22075.53,15744.19,6331.34,31488.38,5.82
2011,3,4,Sales,kg,Family 14,Material 44,BU Charlie,Client 0471,AL,Representative 27,Item 0026,6600,37768.50,30124.87,20535.90,9588.97,41071.80,5.72
2011,3,4,Sales,kg,Family 14,Material 44,BU Charlie,Client 0258,MG,Representative 29,Item 0026,1760,10441.20,7830.89,5476.24,2354.65,10952.48,5.93
2011,3,4,Sales,kg,Family 14,Material 44,BU Charlie,Client 0686,RN,Representative 27,Item 0026,2200,12705.00,10133.74,6845.30,3288.44,13690.60,5.78
2011,3,4,Sales,kg,Family 14,Material 44,BU Charlie,Client 1070,SP,Representative 12,Item 0026,3300,21483.00,14884.66,10267.95,4616.71,20535.90,6.51
