Year,Month,Day,Movement,UOM,Family,Material,Client,Region,Representative,Item,Sales_Quantity,Gross_Revenue,Net_Revenue,COGS,EBIT,Inventory,Price,Business_Unit
2010.0,5.0,17.0,0,0,0,0,5,14,20,0,880.0,5507.04,4130.28,2869.24,1261.04,5738.48,6.26,1
2010.0,5.0,17.0,0,0,0,0,9,19,1,0,440.0,2748.9,1930.77,1434.62,496.15,2869.24,6.25,1
2010.0,5.0,17.0,0,0,0,0,78,19,23,0,220.0,1593.9,1119.52,717.31,402.21,1434.62,7.25,1
2010.0,5.0,17.0,0,0,0,0,113,19,23,2,40.0,299.46,210.33,157.76,52.57,315.52,7.49,1
2010.0,5.0,17.0,0,0,0,0,134,19,23,2,20.0,149.73,103.95,78.88,25.07,157.76,7.49,1
2010.0,5.0,17.0,0,0,0,0,11,19,23,2,40.0,302.4,212.4,157.76,54.64,315.52,7.56,1
2010.0,5.0,17.0,0,0,0,0,84,19,23,2,40.0,287.7,202.08,157.76,44.32,315.52,7.19,1
2010.0,5.0,17.0,0,0,0,0,127,20,4,0,880.0,5911.09,3822.01,2847.86,974.15,5695.72,6.72,2
2010.0,5.0,17.0,0,0,0,0,121,8,8,0,220.0,1178.1,939.68,711.96,227.72,1423.92,5.36,2
2010.0,5.0,17.0,0,0,0,0,89,9,8,0,1100.0,6699.0,5343.25,3559.82,1783.43,7119.64,6.09,2
2010.0,5.0,17.0,0,0,0,0,24,7,12,0,2200.0,12266.1,9199.58,7119.64,2079.94,14239.28,5.58,2
2010.0,5.0,17.0,0,0,0,0,112,6,8,0,6600.0,40425.54,27084.75,21358.92,5725.83,42717.84,6.13,2
2010.0,5.0,17.0,0,0,0,0,41,20,18,0,22880.0,141741.6,98206.68,74044.26,24162.42,148088.52,6.2,2
2010.0,5.0,17.0,0,0,0,0,26,18,5,0,660.0,4435.2,3326.4,2135.89,1190.51,4271.78,6.72,2
2010.0,5.0,24.0,0,0,0,0,132,18,5,0,880.0,5497.8,3861.55,2957.5,904.05,5915.0,6.25,0
2010.0,5.0,24.0,0,0,0,0,9,19,1,0,440.0,2748.9,1930.77,1434.62,496.15,2869.24,6.25,1
2010.0,5.0,24.0,0,0,0,0,134,19,23,2,20.0,149.73,103.95,78.88,25.07,157.76,7.49,1
